model_name,dataset_name,input_type,used_enriched_data,train_samples,test_samples,num_classes,metric_average,accuracy,f1,precision,recall,training_time_sec,epochs,image_height,image_width
NCTD Asymmetric Kernels,maintenance,image,False,8000,2000,2,binary,0.981,0.7246376811594203,0.7142857142857143,0.7352941176470589,13.233648125002219,30,12,12
NCTD Asymmetric Kernels,maintenance,image,True,15458,2000,2,binary,0.977,0.6461538461538462,0.6774193548387096,0.6176470588235294,25.5790659589984,30,12,12
NCTD Dilated Convolutions,maintenance,image,False,8000,2000,2,binary,0.9755,0.6838709677419355,0.6091954022988506,0.7794117647058824,10.801706375001231,30,12,12
NCTD Dilated Convolutions,maintenance,image,True,15458,2000,2,binary,0.9675,0.5911949685534591,0.5164835164835165,0.6911764705882353,20.50853466600529,30,12,12
NCTD Residual,maintenance,image,False,8000,2000,2,binary,0.978,0.7105263157894737,0.6428571428571429,0.7941176470588235,13.011844667002151,30,12,12
NCTD Residual,maintenance,image,True,15458,2000,2,binary,0.9755,0.6370370370370371,0.6417910447761194,0.6323529411764706,24.802765458996873,30,12,12
XGBoost,stroke,tabular,False,4088,1022,2,binary,0.9500978473581213,0.07272727272727272,0.4,0.04,0.173882708993915,,,
XGBoost,stroke,tabular,True,7778,1022,2,binary,0.9471624266144814,0.06896551724137931,0.25,0.04,0.17180062500119675,,,
NCTD Base,stroke,image,False,4088,1022,2,binary,0.9510763209393346,0.0,0.0,0.0,20.841919917002087,30,20,20
NCTD Base,stroke,image,True,7778,1022,2,binary,0.8884540117416829,0.18571428571428572,0.14444444444444443,0.26,39.22654891700222,30,20,20
NCTD Attention (SE),stroke,image,False,4088,1022,2,binary,0.9510763209393346,0.0,0.0,0.0,22.616838417001418,30,20,20
NCTD Attention (SE),stroke,image,True,7778,1022,2,binary,0.8326810176125244,0.18181818181818182,0.11949685534591195,0.38,42.84255741699599,30,20,20
NCTD Asymmetric Kernels,stroke,image,False,4088,1022,2,binary,0.9510763209393346,0.0,0.0,0.0,23.104034874995705,30,20,20
NCTD Asymmetric Kernels,stroke,image,True,7778,1022,2,binary,0.9060665362035225,0.1724137931034483,0.15151515151515152,0.2,43.86980662499991,30,20,20
NCTD Dilated Convolutions,stroke,image,False,4088,1022,2,binary,0.9510763209393346,0.0,0.0,0.0,20.650190291002218,30,20,20
NCTD Dilated Convolutions,stroke,image,True,7778,1022,2,binary,0.8904109589041096,0.17647058823529413,0.13953488372093023,0.24,39.25857420900138,30,20,20
NCTD Residual,stroke,image,False,4088,1022,2,binary,0.9510763209393346,0.0,0.0,0.0,22.568467958000838,30,20,20
NCTD Residual,stroke,image,True,7778,1022,2,binary,0.8796477495107632,0.18543046357615894,0.13861386138613863,0.28,42.88063220800541,30,20,20
